Gene	NGr1	NGr2	NGr3	349r1	349r2	349r3
gene-ECD_00604	951	1220	786	767	955	1236
gene-ECD_00605	671	714	603	568	712	810
gene-ECD_00606	476	486	431	509	428	532
gene-ECD_00607	500	692	414	446	494	735
gene-ECD_00608	672	862	527	631	646	994
gene-ECD_00609	1032	1400	843	958	1042	1768
gene-ECD_00610	2841	2585	2263	2409	2224	3375
gene-ECD_00611	11076	9627	8547	8933	9442	11995
gene-ECD_00612	3569	1572	3091	3264	3537	2463
gene-ECD_00614	3	7	1	0	7	1
gene-ECD_00615	52	48	44	47	63	82
gene-ECD_00616	158	151	132	108	210	195
gene-ECD_00617	6694	4919	5769	5569	8316	6948
gene-ECD_00619	0	1	2	1	1	1
gene-ECD_00620	211	102	219	85	203	194
gene-ECD_00621	384	190	385	202	431	266
gene-ECD_00622	450	211	491	210	577	365
gene-ECD_00623	5088	1820	5179	2472	6010	2560
gene-ECD_00624	169	187	141	131	189	245
gene-ECD_00625	1584	1836	1338	1325	1608	2103
gene-ECD_00626	4932	4396	4179	4151	4650	4907
gene-ECD_00627	1976	1634	1538	1622	1789	2063
gene-ECD_00628	6620	4688	4868	4973	5911	5446
gene-ECD_00629	1805	1430	1329	1390	1601	1613
gene-ECD_00630	2890	1833	2484	2335	2406	2482
gene-ECD_00631	5647	4215	6674	4383	4858	7017
gene-ECD_00632	2681	2503	2180	2149	2726	3431
gene-ECD_00633	4309	4466	3568	3481	5405	5601
gene-ECD_00634	5398	4048	4273	4389	6440	6050
gene-ECD_00635	5118	3486	4202	4455	6097	5371
gene-ECD_00636	15423	10817	14256	12349	18829	15211
gene-ECD_00637	6790	6309	5501	5294	5659	7902
gene-ECD_00638	177	159	198	208	187	290
gene-ECD_00639	72	74	67	57	88	88
gene-ECD_00640	7961	8362	6948	6772	8348	11564
gene-ECD_00641	2058	2569	1982	1821	2339	3194
gene-ECD_00642	308	386	245	274	318	461
gene-ECD_00643	1325	895	909	954	1124	1473
gene-ECD_00644	3791	3836	2734	2833	3937	5529
gene-ECD_00645	10731	8374	8658	8396	9635	10897
gene-ECD_00646	16	34	22	30	25	28
gene-ECD_00647	14	2	9	9	8	7
gene-ECD_00648	143	152	149	131	155	212
gene-ECD_00649	98	111	111	99	149	154
gene-ECD_00650	0	1	0	0	0	0
gene-ECD_00651	154	91	119	112	163	105
gene-ECD_00652	942	685	791	683	1093	819
gene-ECD_00653	34	9	18	23	18	28
gene-ECD_00654	96	79	82	72	109	104
gene-ECD_00655	24	16	10	17	19	22
gene-ECD_00656	0	0	1	0	0	0
gene-ECD_00657	202	162	220	250	212	231
gene-ECD_00658	30	40	26	42	37	56
gene-ECD_00659	32	29	23	33	29	59
gene-ECD_00660	29	31	33	34	33	42
gene-ECD_00661	27	21	20	28	30	26
gene-ECD_00662	24	17	13	14	15	33
gene-ECD_00663	18	15	9	6	15	19
gene-ECD_00664	6	8	7	3	9	17
gene-ECD_00666	26	20	25	12	14	26
gene-ECD_00667	108	85	111	91	111	146
gene-ECD_00668	335	256	236	236	293	356
gene-ECD_00669	153	135	115	115	136	185
gene-ECD_00670	3613	2660	3043	3045	3589	3916
gene-ECD_00671	2052	1787	1918	1806	2005	2130
gene-ECD_00672	3326	2896	2797	2558	3323	3487
gene-ECD_00673	2614	2739	2127	2096	3040	2963
gene-ECD_00674	1339	1542	1244	1129	1705	1804
gene-ECD_00675	551	839	586	524	727	968
gene-ECD_00676	24	23	26	30	35	43
gene-ECD_00677	17	25	14	21	19	39
gene-ECD_00678	56	50	59	49	72	89
gene-ECD_00679	52	26	26	41	39	25
gene-ECD_00680	41967	23907	32118	24863	32780	30445
gene-ECD_00681	4385	2171	4184	2621	4435	1744
gene-ECD_00682	2227	790	1519	1070	2086	852
gene-ECD_00683	18272	6664	12768	9847	14145	7517
gene-ECD_00684	12467	4824	7652	6500	7088	5577
gene-ECD_00685	54549	29460	38935	33849	35156	37191
gene-ECD_00686	37190	26920	29298	26780	25417	29403
gene-ECD_00687	31126	26121	25750	23266	23285	30988
gene-ECD_00688	35650	28887	29671	27551	27132	35094
gene-ECD_00689	259	323	210	241	255	343
gene-ECD_00690	68	65	73	59	64	110
gene-ECD_00691	518	568	459	469	545	662
gene-ECD_00692	72851	74080	78011	64284	89309	100320
gene-ECD_00693	47372	50708	46544	39103	61289	68969
gene-ECD_00694	2766	3065	3080	2733	3551	4474
gene-ECD_00695	4583	3538	3368	3834	4480	5597
gene-ECD_00696	195	300	176	191	236	402
gene-ECD_00697	1150	1604	1027	1114	1373	1947
gene-ECD_00698	727	793	586	708	833	1000
gene-ECD_00699	1124	1422	1027	1215	1096	1796
gene-ECD_00700	9920	5203	6363	7488	6269	8161
gene-ECD_00701	20940	11594	14138	15241	14107	14556
gene-ECD_00702	9218	5305	5881	6507	6811	7504
gene-ECD_00703	955	610	783	761	1135	1032
gene-ECD_00704	721	548	627	615	928	810
gene-ECD_00705	912	680	826	754	882	901
gene-ECD_00706	169	124	192	137	158	159
gene-ECD_00707	11034	9732	8793	7947	9967	15262
gene-ECD_00708	31466	24673	29061	28198	29797	33447
gene-ECD_00725	310	183	229	220	204	270
gene-ECD_00740	977	655	765	720	850	864
gene-ECD_00741	171	171	159	118	178	189
gene-ECD_00742	196	180	171	158	231	217
gene-ECD_00743	51	44	41	34	42	71
gene-ECD_00744	66	51	55	61	78	70
gene-ECD_00745	81	56	76	68	59	85
gene-ECD_00746	7670	6689	6865	6629	7420	8452
gene-ECD_00747	950	886	734	741	958	1158
gene-ECD_00748	1299	925	913	962	1218	1316
gene-ECD_00749	828	413	754	611	759	529
gene-ECD_00750	1658	894	1282	1055	1577	1015
gene-ECD_00751	228	148	200	193	289	201
gene-ECD_00752	516	418	488	438	551	462
gene-ECD_00753	6136	4309	6250	4983	6594	6429
gene-ECD_00754	4	14	10	10	18	17
gene-ECD_00755	46	36	42	27	43	40
gene-ECD_00756	124	96	120	94	134	118
gene-ECD_00757	62	44	45	45	59	67
gene-ECD_00758	389	327	444	411	437	404
gene-ECD_00759	1097	1304	1376	920	1248	1433
gene-ECD_00760	1108	1224	1316	640	1040	1134
gene-ECD_00761	4509	4192	5472	2617	3928	4452
gene-ECD_00762	4604	3037	4492	2611	2894	3456
gene-ECD_00763	992	933	1040	572	552	837
gene-ECD_00764	1154	1981	924	1122	1014	1973
gene-ECD_00765	318	458	385	313	404	553
gene-ECD_00766	2169	2762	2082	1989	2412	2883
gene-ECD_00767	6329	4084	5381	5005	6367	5544
gene-ECD_00768	5134	3235	4379	4054	4736	4511
gene-ECD_00769	1118	1423	1253	703	763	885
gene-ECD_00770	99	120	107	130	150	164
gene-ECD_00771	282	238	227	205	271	300
gene-ECD_00772	267	279	251	255	306	315
gene-ECD_00773	91	96	91	87	106	115
gene-ECD_00774	322	358	353	240	404	443
gene-ECD_00775	170	177	180	145	207	225
gene-ECD_00776	1211	1471	1171	1008	1570	1903
gene-ECD_00777	882	1275	1062	756	1060	1373
gene-ECD_00778	8781	6057	7722	6417	8002	8542
gene-ECD_00779	5980	6526	7913	5526	7089	7062
gene-ECD_00780	112	105	57	77	75	132
gene-ECD_00781	46550	31997	41420	40933	33868	46364
gene-ECD_00782	292	282	210	267	219	342
gene-ECD_00783	314	171	200	296	151	242
gene-ECD_00784	80	68	76	92	108	136
gene-ECD_00785	431	448	404	477	537	655
gene-ECD_00786	1177	1254	960	1104	1101	1501
gene-ECD_00787	1690	1858	1466	1376	1629	1970
gene-ECD_00788	478	426	370	432	447	577
gene-ECD_00789	533	553	431	447	431	697
gene-ECD_00790	324	319	328	308	452	450
gene-ECD_00791	24	11	20	15	20	21
gene-ECD_00792	511	467	528	429	562	586
gene-ECD_00793	2272	1911	1715	1868	2200	2823
gene-ECD_00794	4831	4182	4140	4403	4594	5351
gene-ECD_00795	1521	1188	1218	1337	1719	1633
gene-ECD_00796	3162	2225	2206	2475	3201	2654
gene-ECD_00797	5216	3084	3444	4179	4507	3786
gene-ECD_00798	847	680	703	883	864	1060
gene-ECD_00799	608	521	539	617	704	736
gene-ECD_00800	28	26	28	23	31	57
gene-ECD_00801	23	31	16	14	25	39
gene-ECD_00802	382	564	318	381	405	613
gene-ECD_00803	65	32	45	37	67	45
gene-ECD_00804	209	145	163	148	205	215
gene-ECD_00805	3051	1539	2288	2188	2333	2407
gene-ECD_00806	1783	1253	1757	1627	1814	1775
gene-ECD_00807	950	925	897	843	1027	1089
gene-ECD_00808	617	448	487	556	514	701
gene-ECD_00809	98	91	86	110	83	144
gene-ECD_00810	183	118	147	145	145	170
gene-ECD_00811	979	707	777	758	918	917
gene-ECD_00812	388	250	307	276	327	338
gene-ECD_00813	307	201	299	300	365	241
gene-ECD_00814	239	238	231	280	334	366
gene-ECD_00815	106	86	85	100	96	117
gene-ECD_00816	777	582	758	796	717	666
gene-ECD_00817	443	472	381	390	443	551
gene-ECD_00818	35	22	23	30	33	28
gene-ECD_00819	64	53	49	44	51	57
gene-ECD_00826	7	6	5	6	9	15
gene-ECD_00827	64	85	64	67	59	95
gene-ECD_00828	1951	1518	1682	1682	1842	2187
gene-ECD_00829	9	15	8	9	8	25
gene-ECD_00830	3877	3237	3145	3914	3754	5326
gene-ECD_00831	5192	4815	3886	4685	5077	6893
gene-ECD_00832	162	324	153	139	210	330
gene-ECD_00833	30	25	34	29	30	26
gene-ECD_00834	6	6	7	4	4	7
gene-ECD_00835	5	2	2	2	0	1
gene-ECD_00836	0	0	1	0	1	3
gene-ECD_00837	2	0	0	2	0	0
gene-ECD_00838	5	4	3	3	3	6
gene-ECD_00839	268	205	233	224	305	275
gene-ECD_00840	1446	1288	1286	1209	1533	1608
gene-ECD_00841	8	10	10	12	6	5
gene-ECD_00842	6	3	6	2	8	6
gene-ECD_00843	17	29	24	24	23	18
gene-ECD_00844	28	29	10	19	25	20
gene-ECD_00845	223	203	177	184	180	279
gene-ECD_00846	74	60	69	73	82	78
gene-ECD_00847	68	41	55	44	72	65
gene-ECD_00848	20	8	8	5	7	18
gene-ECD_00849	8	8	0	1	7	9
gene-ECD_00850	14	15	6	11	21	18
gene-ECD_00851	95	66	81	108	114	108
gene-ECD_00852	555	608	435	517	569	791
gene-ECD_00853	101	178	107	104	149	258
gene-ECD_00854	16	16	6	23	22	30
gene-ECD_00855	750	519	670	731	567	814
gene-ECD_00856	6392	5193	5472	4216	4667	5865
gene-ECD_00857	2800	2084	2309	1995	2159	2379
gene-ECD_00858	1389	1324	1185	1053	1580	2115
gene-ECD_00859	104	118	91	93	98	119
gene-ECD_00860	67	58	56	40	56	65
gene-ECD_00861	40	40	28	35	59	61
gene-ECD_00862	55	48	39	45	58	81
gene-ECD_00863	93	82	86	91	107	122
gene-ECD_00864	324	358	226	227	284	346
gene-ECD_00865	1530	1290	1228	1114	1369	1651
gene-ECD_00866	817	784	713	610	715	1068
gene-ECD_00867	608	430	429	490	572	536
gene-ECD_00868	6918	4135	5332	5389	5357	5904
gene-ECD_00869	1346	1129	1077	971	1512	1445
gene-ECD_00870	1926	1140	1915	1570	1839	1618
gene-ECD_00871	1229	774	1144	1321	1358	1256
gene-ECD_00872	2535	2188	2201	1901	2862	2374
gene-ECD_00873	1188	1225	979	1025	1329	1449
gene-ECD_00874	1046	863	835	859	865	1010
gene-ECD_00875	1738	969	1234	1258	1332	1416
gene-ECD_00876	1268	891	1187	766	889	1082
gene-ECD_00877	68	43	63	50	63	51
gene-ECD_00878	44	43	20	39	49	40
gene-ECD_00879	128	104	83	104	84	138
gene-ECD_00880	127	53	93	105	96	95
gene-ECD_00881	1621	997	1258	1247	1596	1387
gene-ECD_00882	2027	2982	1761	1876	2567	3600
gene-ECD_00883	928	897	819	736	939	1101
gene-ECD_00884	1054	1136	991	912	1239	1372
gene-ECD_00885	1756	1825	2908	1877	2838	2060
gene-ECD_00886	586	979	471	683	566	1365
gene-ECD_00887	52205	31565	46006	39814	59349	45468
gene-ECD_00888	808	1913	899	976	985	1892
gene-ECD_00889	659	541	470	545	628	716
gene-ECD_00890	3645	3134	2866	3142	3031	4151
gene-ECD_00891	2634	2210	1888	2120	2258	3101
gene-ECD_00892	4842	2909	3288	3310	3365	3897
gene-ECD_00893	2657	2300	2610	2468	2392	3165
gene-ECD_00894	6508	5993	4857	5430	5374	7165
gene-ECD_00895	3685	2584	2401	2971	2834	4095
gene-ECD_00896	1903	1650	1494	1567	1727	2002
gene-ECD_00897	17035	14922	15223	12826	16229	18822
gene-ECD_00898	1011	583	701	661	742	682
gene-ECD_00899	490	199	337	324	312	331
gene-ECD_00900	518	198	342	272	326	274
gene-ECD_00901	357	233	329	232	311	293
gene-ECD_00902	88	85	74	79	74	126
gene-ECD_00903	43	32	45	34	47	46
gene-ECD_00904	64	29	49	50	62	70
gene-ECD_00905	139	121	160	141	178	168
gene-ECD_00906	2486	2440	2210	2025	2531	3133
gene-ECD_00907	95704	76461	80292	73494	96990	110555
gene-ECD_00908	1933	2116	1646	2060	1742	3538
gene-ECD_00909	932	1020	671	865	701	1327
gene-ECD_00910	89	115	68	76	118	156
gene-ECD_00911	8434	6863	6581	6347	6145	9412
gene-ECD_00912	2300	2339	1765	1607	1912	2445
gene-ECD_00913	76	56	73	53	76	90
gene-ECD_00914	594	683	478	587	586	792
gene-ECD_00915	73032	40456	41507	52632	41139	52238
gene-ECD_00916	1513	1204	1113	1275	1275	1290
gene-ECD_00917	381	355	334	346	403	475
gene-ECD_00918	1735	1773	1435	1463	1539	2215
gene-ECD_00919	440	495	346	352	415	603
gene-ECD_00920	369	382	292	297	358	507
gene-ECD_00921	55	43	41	46	43	67
gene-ECD_00922	2979	2644	2471	2576	2673	3407
gene-ECD_00923	1027	1028	1061	955	1144	1318
gene-ECD_00924	357	346	323	333	451	460
gene-ECD_00925	637	823	611	583	762	961
gene-ECD_00926	1578	1638	1185	1269	1653	1902
gene-ECD_00927	2062	1745	1403	1644	1800	2413
gene-ECD_00928	13748	7012	7795	9942	7528	9885
gene-ECD_00929	5831	4725	4954	4438	6873	6230
gene-ECD_00930	3161	2561	2636	2428	3736	3595
gene-ECD_00931	3029	2639	2538	2268	3241	3268
gene-ECD_00932	29579	18135	22256	21808	23408	27143
gene-ECD_00933	812619	542991	601843	600427	721337	794741
gene-ECD_00934	9585	7327	6610	7623	7389	10428
gene-ECD_00935	1732	1612	1430	1274	1647	2089
gene-ECD_00936	27467	19192	20415	20215	25879	26573
gene-ECD_00937	500	392	469	430	449	463
gene-ECD_00938	23	23	20	32	27	30
gene-ECD_00939	100	55	78	70	101	74
gene-ECD_00940	31	28	33	30	31	40
gene-ECD_00941	33	23	39	27	31	27
gene-ECD_00942	95	71	109	83	78	113
gene-ECD_00943	9	6	6	10	7	13
gene-ECD_00944	54	61	59	66	93	102
gene-ECD_00945	90	83	78	93	105	127
gene-ECD_00946	29	39	27	35	40	39
gene-ECD_00947	42	37	30	48	33	53
gene-ECD_00948	131	141	114	145	126	177
gene-ECD_00949	219	330	195	230	281	404
gene-ECD_00950	601	342	470	440	693	572
gene-ECD_00951	1765	1568	1431	1366	1637	1965
gene-ECD_00952	1476	1584	1137	1235	1284	1768
gene-ECD_00953	1531	1301	1082	1342	1053	1927
gene-ECD_00954	542	347	341	387	353	459
gene-ECD_00955	2035	1165	1374	1705	1471	1687
gene-ECD_00956	1254	600	861	981	758	1023
gene-ECD_00957	812	664	987	885	1056	1061
gene-ECD_00958	2554	2399	2445	2342	2380	2705
gene-ECD_00959	2289	2500	1889	1662	2369	2677
gene-ECD_00960	823	574	828	754	772	728
gene-ECD_00961	114670	72531	77899	86250	82295	108335
gene-ECD_00962	967	709	1012	968	998	1063
gene-ECD_00963	568	426	421	499	637	781
gene-ECD_00964	938	962	754	746	995	1230
gene-ECD_00965	74	66	72	79	64	126
gene-ECD_00966	4127	3304	3507	3416	3628	4088
gene-ECD_00967	6771	4957	6522	5261	7688	5880
gene-ECD_00968	67	104	77	64	86	143
gene-ECD_00969	491	461	645	579	505	612
gene-ECD_00970	2051	1569	1809	1941	1898	2091
gene-ECD_00971	743	758	622	599	701	944
gene-ECD_00972	116	121	119	105	147	163
gene-ECD_00973	113	121	112	98	124	163
gene-ECD_00974	1466	1110	1195	1132	1260	1807
gene-ECD_00975	49	43	62	35	49	62
gene-ECD_00976	63	73	64	62	87	100
gene-ECD_00977	31	28	23	25	30	30
gene-ECD_00978	46	52	41	46	61	54
gene-ECD_00979	15	16	15	18	24	22
gene-ECD_00980	57	61	54	43	63	52
gene-ECD_00981	142	93	103	115	120	130
gene-ECD_00982	129	113	103	100	90	156
gene-ECD_00983	402	343	370	315	410	405
gene-ECD_00984	556	411	510	467	499	566
gene-ECD_00985	32	34	23	30	29	47
gene-ECD_00986	52	57	43	56	70	69
gene-ECD_00987	145	232	135	145	188	315
gene-ECD_00988	12	10	16	12	12	16
gene-ECD_00989	3	0	1	2	1	5
gene-ECD_00990	28	36	36	45	38	51
gene-ECD_00991	3	1	0	0	0	2
gene-ECD_00992	1559	4916	1189	1821	2499	3598
gene-ECD_00993	156	232	107	140	218	168
gene-ECD_00994	57	24	33	51	32	72
gene-ECD_00995	238	330	193	199	322	376
gene-ECD_00996	520	573	511	486	589	726
gene-ECD_00997	263	274	320	223	362	445
gene-ECD_00998	391	252	359	281	345	364
gene-ECD_00999	36	31	25	30	28	43
gene-ECD_01000	199	146	163	144	203	221
gene-ECD_01001	211	202	199	156	213	223
gene-ECD_01002	358	287	365	281	404	262
gene-ECD_01003	2233	1908	2414	1847	2599	2066
gene-ECD_01004	20	18	16	15	24	17
gene-ECD_01005	11310	6046	10649	8972	13037	7827
gene-ECD_01006	967	556	953	730	1064	788
gene-ECD_01007	889	576	948	759	794	710
gene-ECD_01008	18	12	13	15	31	22
gene-ECD_01009	122	80	101	122	121	156
gene-ECD_01010	91	67	87	62	102	94
gene-ECD_01011	44	35	51	48	54	52
gene-ECD_01012	88	90	74	68	97	140
gene-ECD_01013	32	32	37	25	35	40
gene-ECD_01014	50	42	44	53	52	49
gene-ECD_01015	47	23	46	37	48	37
gene-ECD_01016	495	404	504	442	522	721
gene-ECD_01017	12209	3096	6787	6467	5891	4464
gene-ECD_01018	1534	740	1839	942	1293	1417
gene-ECD_01019	195	92	116	163	161	149
gene-ECD_01020	1467	454	541	1067	987	684
gene-ECD_01021	1033	400	433	745	799	576
gene-ECD_01022	1652	581	927	1101	1488	869
gene-ECD_01023	69	41	58	68	59	57
gene-ECD_01024	38	31	28	42	28	48
gene-ECD_01025	46	52	39	50	36	85
gene-ECD_01026	163	204	143	152	178	295
gene-ECD_01027	100	95	88	91	113	128
gene-ECD_01028	2	3	1	2	1	4
gene-ECD_01029	4	2	2	0	1	3
gene-ECD_01030	4713	3343	3541	4190	3403	4638
gene-ECD_01031	3782	3439	2881	3016	2892	4608
gene-ECD_01032	2658	2587	2186	2208	2187	3137
gene-ECD_01033	767	704	559	591	630	1036
gene-ECD_01034	48	66	47	59	54	87
gene-ECD_01035	3	6	6	2	2	6
gene-ECD_01036	1	7	0	4	3	6
gene-ECD_01037	8	11	6	5	9	26
gene-ECD_01038	18	13	12	13	22	30
gene-ECD_01039	193	116	173	143	184	148
gene-ECD_01040	8	2	6	7	6	7
gene-ECD_01041	8	7	8	6	3	10
gene-ECD_01042	763	564	707	658	778	675
gene-ECD_01043	1152	1075	1064	981	1185	1238
gene-ECD_01044	117	99	84	78	104	102
gene-ECD_01045	3572	3629	3160	2952	3233	4409
gene-ECD_01046	4996	4431	3422	3926	3875	5617
gene-ECD_01047	208	238	279	185	255	277
gene-ECD_01048	1105	1616	1260	1053	1261	2032
gene-ECD_01049	1594	2066	1733	1489	1753	2542
gene-ECD_01050	1886	1673	1878	1572	1635	1761
gene-ECD_01051	334	259	199	251	336	308
gene-ECD_01052	1596	871	1032	1095	1309	1159
gene-ECD_01053	21	14	19	30	11	25
gene-ECD_01054	9	4	3	8	11	7
gene-ECD_01055	1649	1527	1490	1248	1384	1585
gene-ECD_01056	1517	1276	1711	1139	1287	1253
gene-ECD_01057	117	83	87	131	99	123
gene-ECD_01058	992	987	803	755	982	1220
gene-ECD_01059	1316	1134	1149	1074	1143	1474
gene-ECD_01060	7796	4803	6345	5531	8034	6954
gene-ECD_01061	448	450	360	413	469	651
gene-ECD_01062	2736	1895	2257	2191	3215	2456
gene-ECD_01063	3981	2060	3316	3065	4288	2957
gene-ECD_01064	3397	2386	3053	2602	3968	3139
gene-ECD_01065	472	631	454	441	562	687
gene-ECD_01066	343	313	243	299	297	324
gene-ECD_01067	259	151	193	208	188	162
gene-ECD_01068	504	301	354	509	282	407
gene-ECD_01069	59	57	49	75	50	73
gene-ECD_01070	398	234	183	386	204	326
gene-ECD_01071	977	622	556	913	467	824
gene-ECD_01072	2321	1307	1144	1975	1365	1969
gene-ECD_01073	582	337	302	518	360	515
gene-ECD_01074	875	561	502	765	595	775
gene-ECD_01075	232	226	129	228	190	247
gene-ECD_01076	196	180	157	183	154	238
gene-ECD_01077	140	170	83	114	113	179
gene-ECD_01078	364	277	239	310	268	370
gene-ECD_01079	485	284	349	423	368	433
gene-ECD_01080	16822	17486	12595	13479	14983	19697
gene-ECD_01081	431	610	410	575	609	898
gene-ECD_01082	401	403	353	357	421	586
gene-ECD_01083	723	490	626	691	684	759
gene-ECD_01084	8446	5991	4639	6881	5895	9472
gene-ECD_01085	10944	10551	10937	10413	8236	11361
gene-ECD_01086	4187	3972	3503	3773	3590	4735
gene-ECD_01087	7053	6354	5490	5731	6461	8707
gene-ECD_01088	11818	7992	7981	8824	8709	10478
gene-ECD_01089	16133	10238	10520	12275	12015	14720
gene-ECD_01090	19519	13591	14106	17858	16115	20964
gene-ECD_01091	33312	23321	22975	24016	27935	32611
gene-ECD_01092	525	538	438	491	526	653
gene-ECD_01093	372	422	332	337	359	471
gene-ECD_01094	804	931	610	543	803	964
gene-ECD_01095	1666	1795	1347	1234	1592	1983
gene-ECD_01096	1928	2107	1753	1709	1750	2646
gene-ECD_01097	9778	19654	9594	9701	11223	27632
gene-ECD_01098	355	402	366	269	365	535
gene-ECD_01099	995	672	988	1053	854	1001
gene-ECD_01100	1460	1146	1102	1234	1294	1558
gene-ECD_01101	3930	3350	3410	3132	3504	3875
gene-ECD_01102	1348	1532	1082	1184	1399	2202
gene-ECD_01103	2493	2607	2310	2221	2491	3590
gene-ECD_01104	3984	3954	3540	3107	4302	5483
gene-ECD_01105	31518	46689	35792	35382	24711	63821
gene-ECD_01106	1141	2074	1207	1375	836	3397
gene-ECD_01107	1337	1457	1142	1188	1339	1673
gene-ECD_01108	149	208	157	180	165	294
gene-ECD_01109	122	89	145	91	130	149
gene-ECD_01110	4924	3976	3454	3736	3976	4650
gene-ECD_01111	32	45	36	40	39	77
gene-ECD_01112	948	847	751	735	956	1077
gene-ECD_01113	1078	763	854	818	792	1102
gene-ECD_01114	1332	1528	1060	1251	1261	1809
gene-ECD_01116	32	40	29	23	26	30
gene-ECD_01117	2	1	6	2	0	7
gene-ECD_01118	398	344	374	326	457	447
gene-ECD_01119	13	11	11	13	9	11
gene-ECD_01120	16	21	7	14	11	15
gene-ECD_01121	5881	2417	3950	4419	3532	3728
gene-ECD_01122	295	344	198	218	237	419
gene-ECD_01123	434	456	305	387	432	551
gene-ECD_01124	553	689	407	488	499	781
gene-ECD_01125	952	767	910	778	951	1069
gene-ECD_01126	2643	2263	2357	2225	2505	2764
gene-ECD_01127	2159	2850	1728	1803	2426	3784
gene-ECD_01128	2247	1764	1965	2132	2015	2530
gene-ECD_01129	3239	2126	1854	2487	1832	2954
gene-ECD_01130	903	1061	727	809	764	1118
gene-ECD_01131	1614	2034	1328	1546	1612	2306
gene-ECD_01132	392	469	400	367	377	556
gene-ECD_01133	233	348	180	230	259	417
gene-ECD_01134	95685	48186	69909	66579	69790	66207
gene-ECD_01135	63	57	44	75	69	63
gene-ECD_01136	10	7	6	4	10	8
gene-ECD_01137	488	413	435	391	451	452
gene-ECD_01138	1183	746	887	665	1238	1071
gene-ECD_01139	0	4	0	2	0	1
gene-ECD_01140	2	2	0	1	0	3
gene-ECD_01141	0	0	1	0	1	0
gene-ECD_01142	1	3	1	0	2	0
gene-ECD_01143	7	8	10	8	16	12
gene-ECD_01144	4	1	2	10	2	8
gene-ECD_01146	10	7	8	11	6	13
gene-ECD_01147	4	5	5	9	5	8
gene-ECD_01148	1	3	1	4	3	1
gene-ECD_01149	2159	1613	1676	1716	2019	1914
gene-ECD_01150	6299	4939	5894	5018	6591	6244
gene-ECD_01151	2975	3026	2619	2524	3097	3793
gene-ECD_01152	191	141	162	182	214	210
gene-ECD_01153	2819	2502	3075	2632	3074	3052
gene-ECD_01154	856	824	786	728	767	1130
gene-ECD_01155	2543	1470	2119	1979	2423	2297
gene-ECD_01156	513	468	414	392	530	536
gene-ECD_01158	64	80	65	52	65	74
gene-ECD_01159	175	147	144	152	176	224
gene-ECD_01160	424	365	323	376	338	530
gene-ECD_01161	2137	1852	1734	1721	1727	2409
gene-ECD_01162	1970	2297	1714	1789	2064	3165
gene-ECD_01163	872	532	853	550	884	639
gene-ECD_01164	3202	1176	2483	1666	2432	1476
gene-ECD_01165	1393	964	1154	947	1185	1263
gene-ECD_01166	3227	2927	2845	3040	3158	3529
gene-ECD_01167	626	586	558	510	605	785
gene-ECD_01168	211	204	198	197	215	254
gene-ECD_01169	20	20	26	20	35	33
gene-ECD_01170	5	7	14	8	11	16
gene-ECD_01171	13	16	5	9	11	14
gene-ECD_01172	548	883	639	423	956	947
gene-ECD_01173	9931	9074	11504	8315	14524	11507
gene-ECD_01174	5294	4033	5289	4469	6743	5024
gene-ECD_01175	7732	6784	7981	7114	8861	8615
gene-ECD_01176	811	586	628	624	578	729
gene-ECD_01177	356	486	412	384	400	572
gene-ECD_01178	3656	3360	2837	2974	3185	4282
gene-ECD_01179	382	399	311	266	466	492
gene-ECD_01180	6396	1877	5769	6256	5194	3563
gene-ECD_01181	1439	1237	1137	1113	1463	1749
gene-ECD_01182	4909	4251	3926	4124	4271	5121
gene-ECD_01183	2466	2415	2046	2011	2422	2861
gene-ECD_01184	995	1095	842	835	996	1366
gene-ECD_01185	3637	3843	3156	2966	3869	4070
gene-ECD_01186	3973	5185	3626	3398	4691	6011
gene-ECD_01187	1320	2090	1218	1079	1586	2440
gene-ECD_01188	282	459	204	249	336	566
gene-ECD_01189	1075	1421	911	947	1175	1716
gene-ECD_01190	8492	7194	6674	6999	6342	10488
gene-ECD_01191	229	141	155	195	133	220
gene-ECD_01192	25	38	24	18	18	36
gene-ECD_01193	20	9	23	11	17	15
gene-ECD_01194	399	233	213	304	255	331
gene-ECD_01195	72	43	73	59	56	64
gene-ECD_01196	1311	1174	1470	1098	1399	1259
gene-ECD_01197	456	382	447	503	464	528
gene-ECD_01198	969	964	839	839	1031	1234
gene-ECD_01199	2850	1763	2382	2026	2238	1927
gene-ECD_01200	1846	1141	1273	1254	1593	1634
gene-ECD_01201	28	37	38	36	34	38
gene-ECD_01202	410	346	379	301	399	468
gene-ECD_01203	347	245	238	236	288	349
gene-ECD_01204	168	106	108	140	135	161
gene-ECD_01205	112	61	78	95	90	102
gene-ECD_01208	3167	2891	2738	2343	3659	3798
gene-ECD_01209	413	402	341	483	439	547
gene-ECD_01210	550	570	493	488	676	833
gene-ECD_01211	632	585	482	493	733	795
gene-ECD_01212	2985	1607	2063	2469	2109	2644
gene-ECD_01213	36366	19102	28479	34203	32572	31437
gene-ECD_01214	135	98	86	97	119	138
gene-ECD_01215	293370	360833	307665	227907	387215	416846
gene-ECD_01216	472	531	428	546	469	790
gene-ECD_01217	17690	18566	16890	12877	18000	21863
gene-ECD_01218	1734	2122	1466	1169	1858	2260
gene-ECD_01219	1599	1940	1332	1162	1278	2135
gene-ECD_01220	2330	2156	1674	1593	1570	2582
